gene,no_treatment,LPS,PolyIC,IFNg,Multiple,OTI no interaction,C57BL/6
Irf1,-0.5438675564800444,-0.4351046916478377,-0.4810778364453749,-0.45322592531677147,-0.8736492386091628,0.5475006860594789,2.239424562439711
Irf4,0.6181822443588997,0.5001248143892996,0.5126196932232155,0.3611612013256132,0.38214488760513887,0.039664736283139074,-2.4138975771853044
Irf7,-0.4481327683279704,-0.5385353840578374,-0.5164149942798644,-0.5062294685185146,-0.8268754458160702,0.6179379271737041,2.2182501338265523
Irf8,0.4765345165677688,0.6206113085419396,0.4679624837153941,0.49904155944319567,0.8995723224824099,-0.8824154687075431,-2.0813067220431636
Myc,0.5552003240694755,0.5384120152665227,0.5678831538870392,0.49841852218732924,0.7307673583361444,-0.6973726167092914,-2.1933087570372187
Hif1a,0.6003278236433878,0.7152303930424563,0.23365187560769207,0.3247286990066339,0.07479556553313867,0.4510508109323815,-2.3997851677656925
Nfatc1,0.524520564892526,0.4365912271492751,0.38453080713624066,0.47584836946548,0.08768153703352852,0.5167758346280789,-2.425948340305127
Nfatc2,0.7186755917430586,-0.3195659881693573,0.1088180035934771,-0.06682857151357013,-0.697606530588371,1.8378622754882088,-1.581354780553451
Id3,0.478281389701291,0.4195654829781502,0.5166186325294653,0.7220047027080594,0.7053771253136357,-0.623609081918999,-2.218238251311603
Ikzf2,0.38790618268945104,0.6408132445378164,0.3359446561340727,0.14521392031714228,-0.1264951122286774,0.9411077089205087,-2.3244906003703147
Ikzf3,0.4770873229475898,-0.026848817727563888,0.6451432059166408,0.07440540467613896,-0.35869001256816696,1.3108900762234077,-2.1219871794680447
Zbtb7b,-1.1206217912162897,-0.415323828017869,1.4653924778369738,0.609433822961655,0.7705543146444908,0.24023061877026694,-1.5496656149792276
Isg15,-0.4511899236856964,-0.4527535105049205,-0.5085085141178374,-0.5021080662832798,-0.8964223195861094,0.5911310883305143,2.2198512458473294
Ifit1,-0.5374063143508816,-0.5369310820554527,-0.485837844578044,-0.4852670533151914,-0.782800833886538,0.5958550425483666,2.2323880856377416
Ifit2,-0.6040066656096797,-0.6335350178312188,-0.478219931266179,-0.4506700934235037,-0.8343917282597635,0.9511707469762547,2.0496526894140903
Ifit3,-0.4881045871979578,-0.4991151621386412,-0.5094097927903731,-0.49736853513075124,-0.7451604710901495,0.4478946030466895,2.291263945301183
Ifitm1,0.24867998910687922,0.9819955729949564,0.2679412509515569,0.8232776105703283,0.7018609748439518,-1.2289402178725513,-1.7948151805951218
Ifitm2,-0.19520044739753606,0.8502468902948416,0.2141862861799486,0.6103938891330795,1.3403428241179312,-1.2552465038353735,-1.5647229384928918
Ifitm3,0.5332712210851133,-1.7917761716859986,0.7559120305421086,-0.2505150738411491,1.5116065119410684,0.007005130807417835,-0.7655036488485585
Oas1a,-0.7822949332027048,-0.15976451431922115,-0.41249735602662946,-0.5642068540511881,-1.0063224822057664,0.9225166382679242,2.002569501537585
Oas1g,-0.408248290463863,-0.408248290463863,-0.408248290463863,-0.408248290463863,-0.408248290463863,-0.408248290463863,2.4494897427831783
Oas2,-0.4386045579232892,-0.5302842293095295,-0.6831039890450387,-0.39115851385597755,-0.79815593298163,0.6354076712035586,2.205899551911906
Oas3,-0.44465195925305506,-0.48789146171876424,-0.6635780558414396,-0.45301230402794695,-0.8773801068097002,0.8049815630815272,2.121532324569379
