ID,gene,UMI_count
00214_1,ACSM2A_P1P2,257
00214_2,ACSM2A_P1P2,112
00214_3,ACSM2A_P1P2,78
00215_1,ACSM2B_P1P2,119
00215_2,ACSM2B_P1P2,83
00215_3,ACSM2B_P1P2,47
00216_1,ACSM3_P1P2,327
00216_2,ACSM3_P1P2,343
00216_3,ACSM3_P1P2,168
00217_1,ACSM4_ENST00000399422.4,360
00217_2,ACSM4_ENST00000399422.4,85
00217_3,ACSM4_ENST00000399422.4,190
00218_1,ACSM5_P1P2,126
00218_2,ACSM5_P1P2,150
00218_3,ACSM5_P1P2,158
00219_1,ACSM6_CP,188
00219_2,ACSM6_CP,82
00219_3,ACSM6_CP,154
00220_1,ACSS1_P1P2,32
00220_2,ACSS1_P1P2,107
00220_3,ACSS1_P1P2,215
00221_1,ACSS2_P1P2,80
00221_2,ACSS2_P1P2,252
00221_3,ACSS2_P1P2,20
00222_1,ACSS3_P1P2,38
00222_2,ACSS3_P1P2,37
00222_3,ACSS3_P1P2,107
00223_1,ACTA1_P1,161
00223_2,ACTA1_P1,162
00223_3,ACTA1_P1,144
00224_1,ACTA1_P2,78
00224_2,ACTA1_P2,126
00224_3,ACTA1_P2,85
00225_1,ACTA2_P1,109
00225_2,ACTA2_P1,96
00225_3,ACTA2_P1,129
00226_1,ACTA2_P2,67
00226_2,ACTA2_P2,47
00226_3,ACTA2_P2,70
00227_1,ACTB_P1P2,25
00227_2,ACTB_P1P2,72
00227_3,ACTB_P1P2,23
00228_1,ACTBL2_P1P2,102
00228_2,ACTBL2_P1P2,62
00228_3,ACTBL2_P1P2,99
00229_1,ACTC1_P1P2,63
00229_2,ACTC1_P1P2,52
00229_3,ACTC1_P1P2,202
00230_1,ACTG1_P1P2,12
00230_2,ACTG1_P1P2,25
00230_3,ACTG1_P1P2,59
00231_1,ACTG2_P1,167
00231_2,ACTG2_P1,103
00231_3,ACTG2_P1,452
00232_1,ACTG2_P2,78
00232_2,ACTG2_P2,228
00232_3,ACTG2_P2,200
00233_1,ACTL10_P1P2,127
00233_2,ACTL10_P1P2,103
00233_3,ACTL10_P1P2,74
00234_1,ACTL6A_P1P2,43
00234_2,ACTL6A_P1P2,31
00234_3,ACTL6A_P1P2,31
00235_1,ACTL6B_P1P2,110
00235_2,ACTL6B_P1P2,136
00235_3,ACTL6B_P1P2,52
00236_1,ACTL7A_P1P2,199
00236_2,ACTL7A_P1P2,209
00236_3,ACTL7A_P1P2,117
00237_1,ACTL7B_P1P2,224
00237_2,ACTL7B_P1P2,28
00237_3,ACTL7B_P1P2,90
00238_1,ACTL8_P1P2,73
00238_2,ACTL8_P1P2,129
00238_3,ACTL8_P1P2,72
00239_1,ACTL9_P1P2,100
00239_2,ACTL9_P1P2,17
00239_3,ACTL9_P1P2,100
00240_1,ACTN1_P1P2,191
00240_2,ACTN1_P1P2,85
00240_3,ACTN1_P1P2,117
00241_1,ACTN2_P1P2,39
00241_2,ACTN2_P1P2,49
00241_3,ACTN2_P1P2,152
00242_1,ACTN3_P1P2,219
00242_2,ACTN3_P1P2,48
00242_3,ACTN3_P1P2,265
00243_1,ACTN4_P1P2,62
00243_2,ACTN4_P1P2,45
00243_3,ACTN4_P1P2,36
00244_1,ACTR10_P1P2,120
00244_2,ACTR10_P1P2,21
00244_3,ACTR10_P1P2,36
00245_1,ACTR1A_P1P2,26
00245_2,ACTR1A_P1P2,106
00245_3,ACTR1A_P1P2,61
00246_1,ACTR1B_P1P2,122
00246_2,ACTR1B_P1P2,13
00246_3,ACTR1B_P1P2,43
00247_1,ACTR2_P1P2,28
00247_2,ACTR2_P1P2,98
00247_3,ACTR2_P1P2,107
00248_1,ACTR3_P1P2,63
00248_2,ACTR3_P1P2,37
00248_3,ACTR3_P1P2,78
00249_1,ACTR3B_P1P2,36
00249_2,ACTR3B_P1P2,83
00249_3,ACTR3B_P1P2,61
00250_1,ACTR3C_P1P2,3
00250_2,ACTR3C_P1P2,186
00250_3,ACTR3C_P1P2,51
00251_1,ACTR5_P1P2,36
00251_2,ACTR5_P1P2,19
00251_3,ACTR5_P1P2,71
00252_1,ACTR6_P1P2,162
00252_2,ACTR6_P1P2,58
00252_3,ACTR6_P1P2,36
00253_1,ACTR8_P1P2,213
00253_2,ACTR8_P1P2,16
00253_3,ACTR8_P1P2,121
00254_1,ACTRT1_P1P2,432
00254_2,ACTRT1_P1P2,46
00254_3,ACTRT1_P1P2,225
00255_1,ACTRT2_P1P2,240
00255_2,ACTRT2_P1P2,150
00255_3,ACTRT2_P1P2,111
00256_1,ACTRT3_P1P2,91
00256_2,ACTRT3_P1P2,60
00256_3,ACTRT3_P1P2,124
00257_1,ACVR1_P1P2,123
00257_2,ACVR1_P1P2,220
00257_3,ACVR1_P1P2,46
00258_1,ACVR1B_P1P2,17
00258_2,ACVR1B_P1P2,77
00258_3,ACVR1B_P1P2,47
00259_1,ACVR1C_P1P2,265
00259_2,ACVR1C_P1P2,76
00259_3,ACVR1C_P1P2,139
00260_1,ACVR2A_P1P2,39
00260_2,ACVR2A_P1P2,161
00260_3,ACVR2A_P1P2,131
00261_1,ACVR2B_P1P2,105
00261_2,ACVR2B_P1P2,70
00261_3,ACVR2B_P1P2,124
00262_1,ACVRL1_P1P2,398
00262_2,ACVRL1_P1P2,237
00262_3,ACVRL1_P1P2,201
00263_1,ACY1_P1P2,313
00263_2,ACY1_P1P2,114
00263_3,ACY1_P1P2,71
00264_1,ACY3_P1,85
